caseid,age_5,age_10,gender,marital,how_often_rushed,health,mental_health,annual_income,household_income
1,50 to 54,45 to 54,Female,Married,... every day?,... very good?,... very good?,"$80,000 to $99,999","$150,000 or more"
2,40 to 44,35 to 44,Male,Married,... every day?,... good?,... excellent?,"$20,000 to $29,999","$40,000 to $49,999"
3,45 to 49,45 to 54,Male,Single (Never married),... about once a week?,... fair?,... very good?,"$20,000 to $29,999","$20,000 to $29,999"
4,50 to 54,45 to 54,Male,Single (Never married),... a few times a week?,... very good?,... excellent?,"$80,000 to $99,999","$80,000 to $99,999"
5,65 to 69,65 to 74,Male,Married,... a few times a week?,... good?,... excellent?,"$60,000 to $79,999","$100,000 to $149,999"
6,40 to 44,35 to 44,Male,Married,... a few times a week?,... very good?,... excellent?,"$60,000 to $79,999","$80,000 to $99,999"
7,40 to 44,35 to 44,Female,Living common-law,... every day?,... very good?,... good?,"$20,000 to $29,999","$50,000 to $59,999"
8,15 to 17,15 to 24,Female,Single (Never married),... a few times a week?,... very good?,... excellent?,"Less than $5,000",Don't know
9,65 to 69,65 to 74,Male,Married,... a few times a week?,... good?,... good?,"$40,000 to $49,999","$80,000 to $99,999"
10,60 to 64,55 to 64,Female,Married,... every day?,... excellent?,... very good?,"$60,000 to $79,999","$150,000 or more"
11,25 to 29,25 to 34,Male,Single (Never married),... about once a week?,... very good?,... very good?,"$60,000 to $79,999","$60,000 to $79,999"
12,40 to 44,35 to 44,Female,Married,... every day?,... very good?,... good?,"$60,000 to $79,999","$100,000 to $149,999"
13,60 to 64,55 to 64,Female,Married,... a few times a week?,... very good?,... very good?,Don't know,Don't know
14,70 to 74,65 to 74,Female,Separated,... less than once a month?,... very good?,... very good?,"$20,000 to $29,999","$20,000 to $29,999"
15,15 to 17,15 to 24,Male,Single (Never married),... a few times a week?,... good?,... good?,"Less than $5,000",Don't know
16,40 to 44,35 to 44,Male,Married,... a few times a week?,... very good?,... very good?,Not stated,Not stated
17,50 to 54,45 to 54,Male,Married,... about once a week?,... very good?,... good?,"$40,000 to $49,999","$50,000 to $59,999"
18,45 to 49,45 to 54,Male,Separated,... about once a month?,... fair?,... excellent?,"$40,000 to $49,999","$40,000 to $49,999"
19,40 to 44,35 to 44,Female,Separated,... every day?,... good?,... good?,"$30,000 to $39,999","$30,000 to $39,999"
20,50 to 54,45 to 54,Female,Living common-law,... every day?,... poor?,... poor?,No income,Not stated
21,45 to 49,45 to 54,Male,Married,... every day?,... very good?,... excellent?,"$60,000 to $79,999","$60,000 to $79,999"
22,75 to 79,75 years and over,Female,Married,... about once a week?,... good?,... good?,Not stated,Not stated
23,50 to 54,45 to 54,Male,Living common-law,... about once a week?,... fair?,... very good?,No income,No income or loss
24,60 to 64,55 to 64,Female,Married,... never,... good?,... very good?,Don't know,Don't know
25,35 to 39,35 to 44,Female,Married,... a few times a week?,... very good?,... very good?,"$15,000 to $19,999","$80,000 to $99,999"
26,50 to 54,45 to 54,Female,Separated,... every day?,... good?,... very good?,"$60,000 to $79,999","$60,000 to $79,999"
27,40 to 44,35 to 44,Male,Married,... every day?,... excellent?,... excellent?,"$60,000 to $79,999","$100,000 to $149,999"
28,25 to 29,25 to 34,Female,Single (Never married),... a few times a week?,Not stated,Not stated,Not stated,Not stated
29,60 to 64,55 to 64,Male,Married,... less than once a month?,... very good?,... very good?,"$20,000 to $29,999","$40,000 to $49,999"
30,80 years and over,75 years and over,Female,Widowed,... less than once a month?,... excellent?,... very good?,Not stated,Not stated
31,25 to 29,25 to 34,Female,Living common-law,... less than once a month?,... very good?,... excellent?,"$100,000 or more","$150,000 or more"
32,70 to 74,65 to 74,Male,Married,... a few times a week?,... very good?,... very good?,"$30,000 to $39,999","$60,000 to $79,999"
33,75 to 79,75 years and over,Female,Widowed,... never,... very good?,... very good?,"$15,000 to $19,999","$15,000 to $19,999"
34,40 to 44,35 to 44,Male,Married,... about once a week?,... very good?,... very good?,"$60,000 to $79,999","$80,000 to $99,999"
35,70 to 74,65 to 74,Female,Married,... less than once a month?,... very good?,... excellent?,"$15,000 to $19,999","$20,000 to $29,999"
36,55 to 59,55 to 64,Male,Married,... every day?,... good?,... excellent?,"$80,000 to $99,999","$100,000 to $149,999"
37,75 to 79,75 years and over,Female,Widowed,... never,... very good?,... very good?,"$20,000 to $29,999","$20,000 to $29,999"
38,80 years and over,75 years and over,Male,Married,... about once a week?,... fair?,... very good?,"$10,000 to $14,999","$20,000 to $29,999"
39,65 to 69,65 to 74,Male,Married,... never,... poor?,... excellent?,"$40,000 to $49,999","$40,000 to $49,999"
40,60 to 64,55 to 64,Male,Married,... about once a month?,... excellent?,... excellent?,"$30,000 to $39,999","$60,000 to $79,999"
41,45 to 49,45 to 54,Male,Single (Never married),... every day?,... very good?,... fair?,"$30,000 to $39,999","$30,000 to $39,999"
42,80 years and over,75 years and over,Female,Widowed,... about once a month?,... very good?,... very good?,"$30,000 to $39,999","$30,000 to $39,999"
43,55 to 59,55 to 64,Male,Married,... every day?,... good?,... very good?,"$40,000 to $49,999","$60,000 to $79,999"
44,75 to 79,75 years and over,Female,Married,... about once a month?,... excellent?,... excellent?,Not stated,Not stated
45,55 to 59,55 to 64,Female,Single (Never married),... a few times a week?,... good?,... good?,"$15,000 to $19,999","$15,000 to $19,999"
46,45 to 49,45 to 54,Male,Married,... less than once a month?,... very good?,... very good?,"$10,000 to $14,999","$20,000 to $29,999"
47,75 to 79,75 years and over,Female,Married,... less than once a month?,Not stated,Not stated,Not stated,Not stated
48,65 to 69,65 to 74,Male,Married,... about once a month?,... excellent?,... excellent?,"$50,000 to $59,999","$60,000 to $79,999"
49,60 to 64,55 to 64,Female,Divorced,... about once a month?,... good?,... very good?,"$5,000 to $9,999","$5,000 to $9,999"
50,40 to 44,35 to 44,Female,Married,... about once a week?,... very good?,... excellent?,"$20,000 to $29,999","$60,000 to $79,999"
51,50 to 54,45 to 54,Male,Married,... about once a month?,... very good?,... very good?,Not stated,Not stated
52,60 to 64,55 to 64,Male,Married,... never,... good?,... good?,"$20,000 to $29,999",Don't know
53,70 to 74,65 to 74,Male,Widowed,... about once a week?,Not stated,Not stated,Not stated,Not stated
54,15 to 17,15 to 24,Male,Single (Never married),... about once a week?,... good?,... excellent?,"Less than $5,000",Don't know
55,65 to 69,65 to 74,Female,Married,... a few times a week?,... very good?,... very good?,"$10,000 to $14,999","$50,000 to $59,999"
56,30 to 34,25 to 34,Female,Single (Never married),... about once a month?,... good?,... very good?,"$20,000 to $29,999","$20,000 to $29,999"
57,40 to 44,35 to 44,Female,Living common-law,... every day?,... good?,... good?,"$20,000 to $29,999","$100,000 to $149,999"
58,20 to 24,15 to 24,Male,Single (Never married),... every day?,... good?,... excellent?,"$30,000 to $39,999","$60,000 to $79,999"
59,75 to 79,75 years and over,Female,Single (Never married),... about once a month?,... very good?,... very good?,"$30,000 to $39,999","$30,000 to $39,999"
60,30 to 34,25 to 34,Male,Married,... every day?,... very good?,... excellent?,"$50,000 to $59,999","$100,000 to $149,999"
61,45 to 49,45 to 54,Female,Divorced,... every day?,... excellent?,... excellent?,"$50,000 to $59,999","$50,000 to $59,999"
62,50 to 54,45 to 54,Female,Single (Never married),... less than once a month?,... fair?,... very good?,"$15,000 to $19,999","$15,000 to $19,999"
63,70 to 74,65 to 74,Male,Married,... about once a month?,... good?,... very good?,"$100,000 or more","$150,000 or more"
64,35 to 39,35 to 44,Male,Married,... every day?,... excellent?,... excellent?,"$40,000 to $49,999","$60,000 to $79,999"
65,55 to 59,55 to 64,Male,Married,... every day?,... good?,... very good?,"$30,000 to $39,999",Don't know
66,35 to 39,35 to 44,Female,Married,... every day?,... very good?,... very good?,"$30,000 to $39,999","$60,000 to $79,999"
67,55 to 59,55 to 64,Female,Divorced,... every day?,... excellent?,... excellent?,"$100,000 or more","$150,000 or more"
68,55 to 59,55 to 64,Female,Divorced,... about once a month?,... fair?,... very good?,"$5,000 to $9,999","$5,000 to $9,999"
69,50 to 54,45 to 54,Female,Married,... about once a week?,... fair?,... good?,"$20,000 to $29,999","$50,000 to $59,999"
70,35 to 39,35 to 44,Male,Single (Never married),... every day?,... fair?,... good?,"$60,000 to $79,999","$60,000 to $79,999"
71,80 years and over,75 years and over,Male,Married,... never,... fair?,... very good?,"$50,000 to $59,999","$80,000 to $99,999"
72,55 to 59,55 to 64,Male,Single (Never married),... a few times a week?,... very good?,... excellent?,"$80,000 to $99,999","$80,000 to $99,999"
73,55 to 59,55 to 64,Male,Married,... every day?,... good?,... very good?,"$60,000 to $79,999","$150,000 or more"
74,70 to 74,65 to 74,Male,Married,... every day?,... very good?,... good?,Not stated,Not stated
75,45 to 49,45 to 54,Female,Divorced,... every day?,Not stated,Not stated,Not stated,Not stated
76,65 to 69,65 to 74,Female,Married,... about once a month?,... very good?,... excellent?,"$10,000 to $14,999","$30,000 to $39,999"
77,18 to 19,15 to 24,Male,Single (Never married),... about once a week?,... excellent?,... very good?,"Less than $5,000",Not stated
78,65 to 69,65 to 74,Female,Married,... about once a week?,... very good?,... excellent?,Not stated,Not stated
79,80 years and over,75 years and over,Female,Widowed,... less than once a month?,... good?,... fair?,Not stated,Not stated
80,50 to 54,45 to 54,Male,Married,... a few times a week?,... good?,... very good?,"$60,000 to $79,999","$80,000 to $99,999"
81,20 to 24,15 to 24,Male,Living common-law,... about once a week?,... very good?,... very good?,"$20,000 to $29,999","$30,000 to $39,999"
82,50 to 54,45 to 54,Female,Married,... about once a week?,... good?,... good?,"$80,000 to $99,999","$150,000 or more"
83,40 to 44,35 to 44,Female,Married,... a few times a week?,... good?,... very good?,"$30,000 to $39,999","$60,000 to $79,999"
84,75 to 79,75 years and over,Female,Married,... less than once a month?,... very good?,... very good?,Not stated,Not stated
85,55 to 59,55 to 64,Female,Divorced,... less than once a month?,... fair?,... excellent?,"$15,000 to $19,999","$15,000 to $19,999"
86,35 to 39,35 to 44,Female,Married,... every day?,... good?,... good?,No income,"$40,000 to $49,999"
87,65 to 69,65 to 74,Male,Widowed,... about once a week?,... excellent?,... good?,"$60,000 to $79,999","$60,000 to $79,999"
88,55 to 59,55 to 64,Female,Divorced,... about once a week?,... excellent?,... excellent?,"$60,000 to $79,999","$60,000 to $79,999"
89,60 to 64,55 to 64,Female,Married,... about once a week?,... good?,... excellent?,"$40,000 to $49,999","$80,000 to $99,999"
90,60 to 64,55 to 64,Female,Living common-law,... a few times a week?,... good?,... good?,"$50,000 to $59,999","$80,000 to $99,999"
91,30 to 34,25 to 34,Female,Single (Never married),... about once a month?,... good?,... fair?,No income,"$60,000 to $79,999"
92,65 to 69,65 to 74,Female,Widowed,... every day?,... fair?,... good?,"$15,000 to $19,999","$15,000 to $19,999"
93,80 years and over,75 years and over,Female,Widowed,... less than once a month?,... fair?,... excellent?,No income,No income or loss
94,50 to 54,45 to 54,Female,Married,... about once a week?,... good?,... very good?,Not stated,Not stated
95,45 to 49,45 to 54,Male,Divorced,... about once a month?,... good?,... good?,No income,"$5,000 to $9,999"
96,40 to 44,35 to 44,Female,Married,... about once a week?,... fair?,... excellent?,Not stated,Not stated
97,40 to 44,35 to 44,Female,Living common-law,... about once a week?,... very good?,... very good?,"$30,000 to $39,999","$150,000 or more"
98,60 to 64,55 to 64,Male,Married,... about once a month?,... very good?,... very good?,"$30,000 to $39,999","$60,000 to $79,999"
99,65 to 69,65 to 74,Female,Divorced,... never,... good?,... good?,"$15,000 to $19,999","$15,000 to $19,999"
100,65 to 69,65 to 74,Female,Married,... about once a month?,Not stated,Not stated,Not stated,Not stated
101,60 to 64,55 to 64,Female,Married,... every day?,... very good?,... very good?,"$40,000 to $49,999","$80,000 to $99,999"
102,75 to 79,75 years and over,Female,Widowed,... less than once a month?,... very good?,... good?,"$20,000 to $29,999","$20,000 to $29,999"
103,40 to 44,35 to 44,Male,Married,... a few times a week?,... good?,... good?,Not stated,Not stated
104,25 to 29,25 to 34,Female,Single (Never married),... a few times a week?,... very good?,... excellent?,"$20,000 to $29,999","$50,000 to $59,999"
105,60 to 64,55 to 64,Female,Married,... about once a week?,... good?,... very good?,"$10,000 to $14,999","$50,000 to $59,999"
106,50 to 54,45 to 54,Female,Separated,... about once a week?,... fair?,... very good?,"$30,000 to $39,999","$30,000 to $39,999"
107,55 to 59,55 to 64,Male,Married,... a few times a week?,... good?,... very good?,"$100,000 or more","$100,000 to $149,999"
108,20 to 24,15 to 24,Male,Single (Never married),... a few times a week?,... excellent?,... very good?,"$5,000 to $9,999","$60,000 to $79,999"
109,50 to 54,45 to 54,Male,Single (Never married),... about once a week?,... very good?,... excellent?,"$100,000 or more","$100,000 to $149,999"
110,35 to 39,35 to 44,Female,Married,... a few times a week?,... good?,... good?,"$10,000 to $14,999","$30,000 to $39,999"
111,70 to 74,65 to 74,Female,Separated,... every day?,... very good?,... very good?,"$10,000 to $14,999","$10,000 to $14,999"
112,30 to 34,25 to 34,Male,Married,... about once a month?,... good?,... very good?,"$20,000 to $29,999","$80,000 to $99,999"
113,75 to 79,75 years and over,Female,Married,... never,... poor?,... excellent?,No income,No income or loss
114,45 to 49,45 to 54,Female,Married,... a few times a week?,... good?,... good?,"$20,000 to $29,999","$50,000 to $59,999"
115,65 to 69,65 to 74,Male,Married,... about once a week?,... very good?,... good?,"$30,000 to $39,999","$30,000 to $39,999"
116,50 to 54,45 to 54,Male,Married,... every day?,... very good?,... excellent?,"$50,000 to $59,999","$100,000 to $149,999"
117,55 to 59,55 to 64,Male,Living common-law,... about once a month?,... fair?,... good?,"$80,000 to $99,999","$80,000 to $99,999"
118,35 to 39,35 to 44,Female,Married,... every day?,... good?,... good?,"$20,000 to $29,999","$60,000 to $79,999"
119,30 to 34,25 to 34,Male,Married,... less than once a month?,... very good?,... very good?,"$60,000 to $79,999","$100,000 to $149,999"
120,35 to 39,35 to 44,Male,Living common-law,... about once a week?,... good?,... good?,"$40,000 to $49,999","$60,000 to $79,999"
121,25 to 29,25 to 34,Female,Living common-law,... a few times a week?,... good?,... good?,"$20,000 to $29,999","$60,000 to $79,999"
122,70 to 74,65 to 74,Female,Married,... about once a month?,... good?,... poor?,"$5,000 to $9,999","$15,000 to $19,999"
123,70 to 74,65 to 74,Male,Married,... never,... fair?,... good?,"$20,000 to $29,999","$20,000 to $29,999"
124,70 to 74,65 to 74,Female,Married,... never,... good?,... good?,Don't know,Don't know
125,30 to 34,25 to 34,Female,Married,... a few times a week?,... excellent?,... very good?,"$30,000 to $39,999","$100,000 to $149,999"
126,55 to 59,55 to 64,Female,Married,... a few times a week?,... very good?,... very good?,"$100,000 or more","$150,000 or more"
127,40 to 44,35 to 44,Female,Divorced,... every day?,... good?,... good?,"$30,000 to $39,999","$30,000 to $39,999"
128,30 to 34,25 to 34,Female,Married,... about once a month?,... good?,... good?,No income,"$60,000 to $79,999"
129,50 to 54,45 to 54,Male,Divorced,... about once a week?,... very good?,... very good?,"$50,000 to $59,999","$50,000 to $59,999"
130,25 to 29,25 to 34,Male,Living common-law,... every day?,... good?,... good?,"$30,000 to $39,999","$40,000 to $49,999"
131,40 to 44,35 to 44,Male,Living common-law,... every day?,... very good?,... good?,"$30,000 to $39,999","$40,000 to $49,999"
132,15 to 17,15 to 24,Male,Single (Never married),... less than once a month?,... very good?,... very good?,No income,Not stated
133,45 to 49,45 to 54,Female,Married,... about once a week?,... fair?,... good?,Not stated,Not stated
134,30 to 34,25 to 34,Female,Living common-law,... every day?,... fair?,... good?,Not stated,Not stated
135,50 to 54,45 to 54,Male,Married,... every day?,... excellent?,... good?,"$80,000 to $99,999","$15,000 to $19,999"
136,70 to 74,65 to 74,Male,Widowed,... a few times a week?,... excellent?,... very good?,"$100,000 or more","$100,000 to $149,999"
137,35 to 39,35 to 44,Male,Married,... every day?,... fair?,... very good?,"$60,000 to $79,999","$80,000 to $99,999"
138,45 to 49,45 to 54,Male,Living common-law,... about once a week?,... excellent?,... excellent?,"$40,000 to $49,999","$100,000 to $149,999"
139,55 to 59,55 to 64,Male,Living common-law,... about once a month?,... very good?,... excellent?,"$20,000 to $29,999","$60,000 to $79,999"
140,80 years and over,75 years and over,Female,Widowed,... never,... very good?,... very good?,Don't know,Don't know
141,75 to 79,75 years and over,Female,Married,... never,... fair?,... very good?,"$20,000 to $29,999",Don't know
142,35 to 39,35 to 44,Female,Divorced,... every day?,... excellent?,... excellent?,"$60,000 to $79,999","$60,000 to $79,999"
143,40 to 44,35 to 44,Female,Married,... a few times a week?,... good?,... good?,"$20,000 to $29,999","$60,000 to $79,999"
144,60 to 64,55 to 64,Female,Single (Never married),... a few times a week?,... excellent?,... very good?,Not stated,"$40,000 to $49,999"
145,15 to 17,15 to 24,Female,Single (Never married),... about once a month?,... very good?,... very good?,"Less than $5,000",Not stated
146,55 to 59,55 to 64,Male,Married,... less than once a month?,... very good?,... very good?,"$40,000 to $49,999","$50,000 to $59,999"
147,35 to 39,35 to 44,Female,Living common-law,... every day?,... fair?,... good?,"$20,000 to $29,999","$50,000 to $59,999"
148,70 to 74,65 to 74,Male,Single (Never married),... less than once a month?,... good?,... good?,"$50,000 to $59,999","$50,000 to $59,999"
149,18 to 19,15 to 24,Male,Single (Never married),... about once a week?,... good?,... excellent?,"$20,000 to $29,999",Not stated
150,15 to 17,15 to 24,Female,Single (Never married),... every day?,... good?,... good?,"Less than $5,000","$60,000 to $79,999"
151,18 to 19,15 to 24,Male,Single (Never married),... every day?,... fair?,... poor?,"$5,000 to $9,999","$40,000 to $49,999"
152,15 to 17,15 to 24,Male,Single (Never married),... about once a month?,... good?,... very good?,"Less than $5,000","$30,000 to $39,999"
153,60 to 64,55 to 64,Male,Married,... about once a month?,... good?,... excellent?,"$30,000 to $39,999","$30,000 to $39,999"
154,50 to 54,45 to 54,Female,Single (Never married),... about once a week?,... good?,... fair?,"$10,000 to $14,999","$10,000 to $14,999"
155,15 to 17,15 to 24,Female,Single (Never married),... a few times a week?,... good?,... very good?,"Less than $5,000",Don't know
156,50 to 54,45 to 54,Male,Living common-law,... every day?,... good?,... very good?,"$50,000 to $59,999","$100,000 to $149,999"
157,65 to 69,65 to 74,Male,Married,... never,... good?,... excellent?,"$40,000 to $49,999","$60,000 to $79,999"
158,55 to 59,55 to 64,Female,Married,... a few times a week?,... good?,... good?,Don't know,Don't know
159,40 to 44,35 to 44,Male,Single (Never married),... a few times a week?,... fair?,... very good?,"$15,000 to $19,999","$15,000 to $19,999"
160,45 to 49,45 to 54,Female,Married,... a few times a week?,... good?,... very good?,"$5,000 to $9,999","$10,000 to $14,999"
161,60 to 64,55 to 64,Female,Widowed,... about once a week?,... excellent?,... excellent?,"$20,000 to $29,999","$20,000 to $29,999"
162,60 to 64,55 to 64,Male,Married,... about once a month?,... very good?,... very good?,"$50,000 to $59,999","$50,000 to $59,999"
163,25 to 29,25 to 34,Female,Single (Never married),... every day?,... good?,... fair?,"$10,000 to $14,999","$10,000 to $14,999"
164,55 to 59,55 to 64,Male,Married,... every day?,... good?,... very good?,"$50,000 to $59,999","$80,000 to $99,999"
165,65 to 69,65 to 74,Male,Married,... every day?,... very good?,... very good?,"$40,000 to $49,999","$60,000 to $79,999"
166,45 to 49,45 to 54,Male,Married,... a few times a week?,... very good?,... excellent?,Not stated,Not stated
167,50 to 54,45 to 54,Female,Married,... every day?,... good?,... fair?,"$100,000 or more","$150,000 or more"
168,25 to 29,25 to 34,Male,Single (Never married),... about once a week?,... good?,... very good?,"$40,000 to $49,999","$40,000 to $49,999"
169,60 to 64,55 to 64,Female,Divorced,... never,... excellent?,... excellent?,"$20,000 to $29,999","$20,000 to $29,999"
170,40 to 44,35 to 44,Female,Married,... a few times a week?,... good?,... good?,"$40,000 to $49,999","$80,000 to $99,999"
171,40 to 44,35 to 44,Male,Married,... a few times a week?,... good?,... good?,"$60,000 to $79,999","$80,000 to $99,999"
172,70 to 74,65 to 74,Male,Married,... a few times a week?,... very good?,... good?,"$50,000 to $59,999","$60,000 to $79,999"
173,65 to 69,65 to 74,Male,Married,... less than once a month?,... fair?,... good?,"$30,000 to $39,999","$30,000 to $39,999"
174,15 to 17,15 to 24,Female,Single (Never married),... a few times a week?,... fair?,... good?,Don't know,Don't know
175,60 to 64,55 to 64,Female,Married,... every day?,... excellent?,... excellent?,Not stated,Not stated
176,55 to 59,55 to 64,Male,Married,... a few times a week?,... fair?,Don't know,"$20,000 to $29,999","$30,000 to $39,999"
177,65 to 69,65 to 74,Female,Married,... a few times a week?,... very good?,... excellent?,"$20,000 to $29,999",Not stated
178,70 to 74,65 to 74,Female,Widowed,... every day?,... good?,... fair?,"$15,000 to $19,999",Don't know
179,60 to 64,55 to 64,Female,Married,... a few times a week?,... good?,... very good?,Not stated,Not stated
180,50 to 54,45 to 54,Male,Married,... about once a week?,... good?,... excellent?,"$50,000 to $59,999","$50,000 to $59,999"
181,60 to 64,55 to 64,Female,Divorced,... about once a month?,... fair?,... good?,"$10,000 to $14,999","$10,000 to $14,999"
182,25 to 29,25 to 34,Female,Separated,... every day?,... excellent?,... excellent?,"$15,000 to $19,999","$15,000 to $19,999"
183,45 to 49,45 to 54,Male,Married,... about once a week?,... very good?,... very good?,"$50,000 to $59,999","$80,000 to $99,999"
184,20 to 24,15 to 24,Male,Single (Never married),... never,... excellent?,... excellent?,"$30,000 to $39,999","$80,000 to $99,999"
185,75 to 79,75 years and over,Male,Married,... never,... fair?,... very good?,"$30,000 to $39,999","$40,000 to $49,999"
186,80 years and over,75 years and over,Female,Widowed,... never,... fair?,... good?,Don't know,Don't know
187,55 to 59,55 to 64,Female,Widowed,... a few times a week?,... very good?,... good?,"$40,000 to $49,999","$40,000 to $49,999"
188,70 to 74,65 to 74,Female,Married,... a few times a week?,... poor?,... very good?,"$30,000 to $39,999","$60,000 to $79,999"
189,35 to 39,35 to 44,Female,Single (Never married),... a few times a week?,... very good?,... very good?,"$80,000 to $99,999","$80,000 to $99,999"
190,45 to 49,45 to 54,Female,Married,... every day?,... excellent?,... very good?,"$30,000 to $39,999","$60,000 to $79,999"
191,45 to 49,45 to 54,Female,Living common-law,... about once a month?,... fair?,... poor?,"$5,000 to $9,999","$15,000 to $19,999"
192,40 to 44,35 to 44,Female,Married,... every day?,... excellent?,... excellent?,"$30,000 to $39,999","$80,000 to $99,999"
193,65 to 69,65 to 74,Female,Married,... a few times a week?,... good?,... good?,"Less than $5,000","$50,000 to $59,999"
194,55 to 59,55 to 64,Female,Divorced,... less than once a month?,... good?,... very good?,"$30,000 to $39,999","$50,000 to $59,999"
195,50 to 54,45 to 54,Female,Married,... about once a week?,... poor?,... poor?,"$10,000 to $14,999","$50,000 to $59,999"
196,25 to 29,25 to 34,Female,Living common-law,... a few times a week?,... good?,... good?,"$40,000 to $49,999","$60,000 to $79,999"
197,60 to 64,55 to 64,Male,Married,... every day?,... very good?,... fair?,"$60,000 to $79,999","$60,000 to $79,999"
198,25 to 29,25 to 34,Male,Single (Never married),... about once a week?,... very good?,... excellent?,"Less than $5,000","$150,000 or more"
199,30 to 34,25 to 34,Female,Living common-law,... a few times a week?,... good?,... very good?,"$30,000 to $39,999","$50,000 to $59,999"
200,75 to 79,75 years and over,Female,Widowed,... about once a week?,... fair?,... good?,Not stated,Not stated
201,20 to 24,15 to 24,Female,Married,... every day?,... excellent?,... excellent?,"$100,000 or more","$150,000 or more"
202,45 to 49,45 to 54,Female,Separated,... a few times a week?,... very good?,... very good?,"$50,000 to $59,999","$100,000 to $149,999"
203,70 to 74,65 to 74,Female,Divorced,... a few times a week?,... very good?,... very good?,"$40,000 to $49,999","$40,000 to $49,999"
204,50 to 54,45 to 54,Male,Married,... a few times a week?,... good?,... good?,"$100,000 or more","$100,000 to $149,999"
205,55 to 59,55 to 64,Female,Married,... about once a week?,... excellent?,... very good?,"$50,000 to $59,999","$150,000 or more"
206,25 to 29,25 to 34,Female,Single (Never married),... a few times a week?,... good?,... good?,"$60,000 to $79,999","$100,000 to $149,999"
207,25 to 29,25 to 34,Male,Married,... a few times a week?,... very good?,... good?,"$40,000 to $49,999","$60,000 to $79,999"
208,45 to 49,45 to 54,Male,Married,... a few times a week?,... very good?,... good?,"$50,000 to $59,999","$100,000 to $149,999"
209,65 to 69,65 to 74,Male,Single (Never married),... about once a week?,... good?,... good?,Not stated,Not stated
210,15 to 17,15 to 24,Male,Single (Never married),... a few times a week?,... very good?,... very good?,"Less than $5,000",Don't know
211,45 to 49,45 to 54,Female,Separated,... less than once a month?,... good?,... very good?,"$30,000 to $39,999","$30,000 to $39,999"
212,45 to 49,45 to 54,Female,Married,... every day?,... fair?,... fair?,"$40,000 to $49,999","$100,000 to $149,999"
213,55 to 59,55 to 64,Male,Married,... a few times a week?,... fair?,... fair?,"$80,000 to $99,999","$100,000 to $149,999"
214,75 to 79,75 years and over,Male,Single (Never married),... never,... good?,... excellent?,"$10,000 to $14,999","$10,000 to $14,999"
215,45 to 49,45 to 54,Female,Divorced,... about once a month?,... good?,... very good?,"$15,000 to $19,999","$20,000 to $29,999"
216,30 to 34,25 to 34,Female,Living common-law,... about once a week?,... very good?,... good?,"$50,000 to $59,999","$100,000 to $149,999"
217,35 to 39,35 to 44,Female,Married,... about once a week?,... good?,... good?,No income,"$40,000 to $49,999"
218,60 to 64,55 to 64,Male,Married,... less than once a month?,... good?,... good?,"$30,000 to $39,999","$30,000 to $39,999"
219,30 to 34,25 to 34,Female,Married,... every day?,... good?,... good?,"$40,000 to $49,999","$40,000 to $49,999"
220,30 to 34,25 to 34,Female,Living common-law,... a few times a week?,... very good?,... very good?,"$80,000 to $99,999","$150,000 or more"
221,15 to 17,15 to 24,Male,Single (Never married),... a few times a week?,... fair?,... very good?,"$5,000 to $9,999",Don't know
222,25 to 29,25 to 34,Male,Single (Never married),... about once a month?,... good?,... good?,"$15,000 to $19,999","$15,000 to $19,999"
223,35 to 39,35 to 44,Female,Married,... every day?,... very good?,... very good?,"$30,000 to $39,999","$80,000 to $99,999"
224,80 years and over,75 years and over,Female,Widowed,... about once a week?,... very good?,... good?,"$30,000 to $39,999","$30,000 to $39,999"
225,35 to 39,35 to 44,Male,Single (Never married),... every day?,... excellent?,... good?,"$20,000 to $29,999","$20,000 to $29,999"
226,55 to 59,55 to 64,Male,Married,... every day?,... fair?,... fair?,"$30,000 to $39,999","$40,000 to $49,999"
227,80 years and over,75 years and over,Male,Married,... less than once a month?,... fair?,... very good?,"$30,000 to $39,999","$40,000 to $49,999"
228,50 to 54,45 to 54,Female,Married,... every day?,... good?,... fair?,"$60,000 to $79,999","$60,000 to $79,999"
229,55 to 59,55 to 64,Female,Married,... less than once a month?,... fair?,... good?,No income,Don't know
230,15 to 17,15 to 24,Female,Single (Never married),... every day?,... poor?,... poor?,No income,Don't know
231,35 to 39,35 to 44,Male,Single (Never married),... never,... excellent?,... excellent?,"$40,000 to $49,999","$40,000 to $49,999"
232,70 to 74,65 to 74,Female,Widowed,... about once a month?,... very good?,... very good?,Not stated,Not stated
233,75 to 79,75 years and over,Female,Widowed,... about once a month?,... very good?,... fair?,Not stated,Not stated
234,65 to 69,65 to 74,Female,Married,... about once a month?,... excellent?,... excellent?,"$10,000 to $14,999","$20,000 to $29,999"
235,50 to 54,45 to 54,Female,Single (Never married),... every day?,... very good?,... good?,"$20,000 to $29,999","$30,000 to $39,999"
236,50 to 54,45 to 54,Male,Divorced,... a few times a week?,... fair?,... very good?,Not stated,Don't know
237,50 to 54,45 to 54,Female,Married,... a few times a week?,Not stated,Not stated,Not stated,Not stated
238,35 to 39,35 to 44,Female,Married,... every day?,... good?,... good?,No income,Not stated
239,45 to 49,45 to 54,Female,Single (Never married),... a few times a week?,... excellent?,... excellent?,"$40,000 to $49,999","$40,000 to $49,999"
240,50 to 54,45 to 54,Male,Single (Never married),... every day?,... good?,... good?,"$30,000 to $39,999",Don't know
