caseid,age_5,age_10,gender,marital,how_often_rushed,health,mental_health,annual_income,household_income
13027,50 to 54,45 to 54,Male,Single (Never married),... every day?,... fair?,... fair?,"$100,000 or more","$150,000 or more"
13028,55 to 59,55 to 64,Male,Married,... a few times a week?,... very good?,... very good?,"$100,000 or more","$150,000 or more"
13029,55 to 59,55 to 64,Female,Single (Never married),... about once a month?,... fair?,... excellent?,Don't know,Don't know
13030,30 to 34,25 to 34,Female,Married,... every day?,... fair?,... excellent?,"$30,000 to $39,999","$30,000 to $39,999"
13031,55 to 59,55 to 64,Female,Married,... every day?,... good?,... fair?,"$50,000 to $59,999","$150,000 or more"
13032,25 to 29,25 to 34,Male,Single (Never married),... never,... very good?,... excellent?,Don't know,Don't know
13033,25 to 29,25 to 34,Female,Married,... every day?,... good?,... good?,"$10,000 to $14,999","$80,000 to $99,999"
13034,25 to 29,25 to 34,Male,Single (Never married),... about once a week?,... very good?,... very good?,"$50,000 to $59,999","$100,000 to $149,999"
13035,30 to 34,25 to 34,Male,Married,... every day?,... very good?,... excellent?,"$50,000 to $59,999","$50,000 to $59,999"
13036,25 to 29,25 to 34,Female,Married,... every day?,... very good?,... fair?,"$60,000 to $79,999","$100,000 to $149,999"
13037,55 to 59,55 to 64,Female,Married,... a few times a week?,... good?,... very good?,"$20,000 to $29,999","$100,000 to $149,999"
13038,75 to 79,75 years and over,Female,Married,... a few times a week?,... good?,... good?,Not stated,Not stated
13039,55 to 59,55 to 64,Male,Divorced,... a few times a week?,... good?,... very good?,Not stated,Not stated
13040,15 to 17,15 to 24,Male,Single (Never married),... a few times a week?,... good?,... good?,No income,"$80,000 to $99,999"
13041,65 to 69,65 to 74,Male,Married,... never,... fair?,... very good?,"$15,000 to $19,999","$30,000 to $39,999"
13042,30 to 34,25 to 34,Female,Married,... a few times a week?,... good?,... good?,"$40,000 to $49,999","$60,000 to $79,999"
13043,60 to 64,55 to 64,Female,Divorced,... about once a week?,... good?,... good?,"$15,000 to $19,999","$15,000 to $19,999"
13044,30 to 34,25 to 34,Female,Single (Never married),... every day?,... very good?,... very good?,"$20,000 to $29,999","$20,000 to $29,999"
13045,55 to 59,55 to 64,Male,Married,... a few times a week?,... fair?,... good?,"$80,000 to $99,999","$150,000 or more"
13046,55 to 59,55 to 64,Female,Married,... every day?,... fair?,... very good?,"$40,000 to $49,999","$60,000 to $79,999"
13047,50 to 54,45 to 54,Female,Married,... less than once a month?,... fair?,... good?,"$20,000 to $29,999","$100,000 to $149,999"
13048,50 to 54,45 to 54,Female,Separated,... less than once a month?,... good?,... very good?,"$15,000 to $19,999","$15,000 to $19,999"
13049,70 to 74,65 to 74,Female,Married,... about once a month?,... very good?,... excellent?,"$20,000 to $29,999","$30,000 to $39,999"
13050,55 to 59,55 to 64,Female,Married,... every day?,... fair?,... excellent?,"$15,000 to $19,999","$150,000 or more"
13051,75 to 79,75 years and over,Female,Separated,... never,... good?,... good?,"$10,000 to $14,999","$10,000 to $14,999"
13052,40 to 44,35 to 44,Female,Married,... every day?,... very good?,... very good?,"$60,000 to $79,999","$150,000 or more"
13053,50 to 54,45 to 54,Male,Single (Never married),... about once a week?,... good?,... very good?,"$100,000 or more","$100,000 to $149,999"
13054,35 to 39,35 to 44,Male,Living common-law,... about once a week?,... very good?,... excellent?,"$50,000 to $59,999","$100,000 to $149,999"
13055,55 to 59,55 to 64,Female,Married,... every day?,... fair?,... good?,Not stated,Not stated
13056,55 to 59,55 to 64,Male,Married,... about once a week?,... good?,... good?,"$20,000 to $29,999",Not stated
13057,80 years and over,75 years and over,Male,Widowed,... never,... good?,... excellent?,"$30,000 to $39,999","$30,000 to $39,999"
13058,75 to 79,75 years and over,Female,Widowed,... about once a month?,... good?,... fair?,"$40,000 to $49,999","$40,000 to $49,999"
13059,20 to 24,15 to 24,Male,Living common-law,... a few times a week?,... very good?,... very good?,"$20,000 to $29,999","$150,000 or more"
13060,75 to 79,75 years and over,Male,Widowed,... about once a week?,... very good?,... excellent?,"$50,000 to $59,999","$50,000 to $59,999"
13061,45 to 49,45 to 54,Female,Single (Never married),... about once a week?,... good?,... very good?,"$40,000 to $49,999","$40,000 to $49,999"
13062,60 to 64,55 to 64,Male,Divorced,... never,... good?,... very good?,Don't know,Don't know
13063,60 to 64,55 to 64,Male,Married,... every day?,... excellent?,... excellent?,Not stated,Not stated
13064,60 to 64,55 to 64,Male,Single (Never married),... a few times a week?,... good?,... very good?,"$60,000 to $79,999","$60,000 to $79,999"
13065,45 to 49,45 to 54,Female,Living common-law,... about once a week?,... very good?,... very good?,"$40,000 to $49,999","$80,000 to $99,999"
13066,65 to 69,65 to 74,Female,Married,... never,... excellent?,... excellent?,"$40,000 to $49,999","$50,000 to $59,999"
13067,50 to 54,45 to 54,Female,Married,... a few times a week?,... very good?,... excellent?,"$15,000 to $19,999",Don't know
